Race,UseOfForce,Gender,TypeOfArrest,BondAmount,Patrol,Officer,DateTimeOfArrest,SearchConducted,Stopped,Arrest,_SELECTED_CHARGE_1,_SELECTED_CHARGE_2,_SELECTED_CHARGE_3,_SELECTED_CHARGE_4,_SELECTED_CHARGE_5,_SELECTED_CHARGE_6,TimeZone
White,No,Male,Summoned/Cited,52382,D3,Jeanne Carr,2021-11-28 21:20:59,No,No,TRUE,Fraud,Theft,Driving Under the Influence (DUI),Nan,Assault,Forgery,US/Eastern
Black,Yes,Female,Summoned/Cited,72233,D3,Anthony Jones,2021-05-29 03:09:29,No,No,TRUE,Driving Under the Influence (DUI),Nan,Arson,Robbery,Robbery,Driving Under the Influence (DUI),US/Eastern
Asian,No,Male,Not listed,24410,D2,Dr. Robert Howell,2023-01-07 09:17:58,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,89037,D2,Matthew Snyder,2022-04-02 01:49:10,No,No,TRUE,Burglary,Assault,Driving Under the Influence (DUI),Arson,Burglary,Nan,US/Eastern
Hispanic,No,Female,Not listed,59492,D3,Alan Norton,2022-02-28 03:07:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,96264,D1,Dana Watson,2021-04-20 18:46:34,No,No,TRUE,Forgery,Assault,Nan,Arson,Assault,Burglary,US/Eastern
Black,Yes,Female,Not listed,23503,D3,Dr. Kayla Andrews,2023-11-19 09:01:58,No,No,TRUE,Domestic Violence,Forgery,Arson,Forgery,Fraud,Robbery,US/Eastern
Asian,No,Female,Not listed,26025,D2,Danielle Myers,2021-07-19 05:43:29,No,No,TRUE,Forgery,Driving Under the Influence (DUI),Domestic Violence,Drug Possession,Domestic Violence,Theft,US/Eastern
White,No,Male,Taken Into Custody,73342,D2,Joshua Moore,2022-07-01 20:25:52,No,No,TRUE,Fraud,Forgery,Drug Possession,Robbery,Arson,Forgery,US/Eastern
Black,Yes,Female,Taken Into Custody,24001,D2,Stephanie Clark,2021-08-09 08:56:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,81136,D3,Stephen Hudson,2022-11-15 12:32:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,87253,D1,Thomas Foley,2022-05-09 21:14:20,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,71232,D2,Jesse Jimenez,2022-02-17 10:58:04,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,69393,D1,Theresa Davis,2023-10-31 22:49:54,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,63001,D1,Kimberly Cruz,2023-06-05 03:01:03,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,76649,D2,Mark Gordon,2023-04-28 22:26:27,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,20948,D1,Reginald Mccarthy,2021-11-10 19:09:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,86421,D1,Joseph Cunningham,2023-08-30 23:45:08,No,No,TRUE,Fraud,Theft,Domestic Violence,Domestic Violence,Drug Possession,Burglary,US/Eastern
Black,Yes,Male,Not listed,94175,D1,Anne Coleman,2022-06-24 06:02:07,No,Yes,TRUE,Domestic Violence,Robbery,Driving Under the Influence (DUI),Arson,Domestic Violence,Burglary,US/Eastern
Hispanic,No,Male,Taken Into Custody,11574,D3,Paul Leonard,2021-06-21 19:02:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,94330,D2,Jesse Garcia,2022-04-19 11:47:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,7231,D2,Alexandra Rowe,2023-12-14 00:19:52,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,2427,D1,Amanda Miller,2022-06-18 12:13:51,No,No,TRUE,Fraud,Forgery,Robbery,Burglary,Drug Possession,Robbery,US/Eastern
Hispanic,No,Male,Not listed,89697,D1,Kenneth Houston,2023-03-28 04:53:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,83653,D1,Jessica Jones,2023-05-15 16:05:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,33836,D2,Jennifer Bradley,2021-11-28 19:35:59,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,51805,D3,Rick Thompson,2022-05-17 17:29:00,No,No,TRUE,Burglary,Fraud,Burglary,Forgery,Domestic Violence,Burglary,US/Eastern
White,No,Female,Taken Into Custody,70287,D2,Thomas Quinn,2023-12-04 09:36:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,98439,D1,Julie Porter,2021-09-24 14:02:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,81481,D1,Debbie Massey,2023-11-15 12:35:11,No,No,TRUE,Theft,Arson,Robbery,Forgery,Theft,Drug Possession,US/Eastern
Black,Yes,Male,Summoned/Cited,20913,D3,Vanessa Vazquez,2023-06-17 19:32:01,No,Yes,TRUE,Robbery,Forgery,Assault,Robbery,Domestic Violence,Arson,US/Eastern
